date,unit_id,loss_category,system,subsystem,component,loss_usd,linked_event_id
2023-07-23,STS-U1,Energy,Turbine,Bearings & Vibration,Turbine Bearing #2,1122.32,
2023-07-23,STS-U1,Energy,Turbine,Lube Oil System,Lube Oil / Coolers,408.12,
2023-07-23,STS-U1,Energy,Turbine,Steam Path & Valves,HP Control Valves,510.14,
2023-07-23,STS-U1,Penalty,Boiler,Air & Flue Gas Path,ID Fan / Dampers,1025.39,
2023-07-23,STS-U1,Penalty,Boiler,Combustion Control,O₂ Trim / Draft Loop,227.86,
2023-07-23,STS-U1,Penalty,Boiler,Fuel Prep & Milling,Coal Mills / Feeders,683.59,
2023-07-23,STS-U1,Penalty,Boiler,Heat Transfer Surfaces,Superheater / Economizer,341.8,
2023-07-23,STS-U1,Penalty,Controls,Actuators,Damper / Valve Actuators,60.15,
2023-07-23,STS-U1,Penalty,Controls,DCS & Control Logic,Unit DCS,150.38,
2023-07-23,STS-U1,Penalty,Controls,Instrumentation & Sensors,Draft DP / O₂ Analyzers,90.22,
2023-07-23,STS-U1,Penalty,Cooling,Circulating Water System,CW Pumps / Strainers,407.61,EVT-2024-06-AUXDRIFT
2023-07-23,STS-U1,Penalty,Cooling,Condenser & Vacuum,Surface Condenser,679.36,EVT-2024-06-AUXDRIFT
2023-07-23,STS-U1,Penalty,Cooling,Cooling Tower,CT Fans / Fill,271.74,EVT-2024-06-AUXDRIFT
2023-07-23,STS-U1,Penalty,Electrical,Station Service,Aux Transformer / MCC,27.94,
2023-07-23,STS-U1,Penalty,Electrical,Switchyard,Breakers / Protection,41.91,
2023-07-23,STS-U1,Penalty,Electrical,Transformers,GSU Transformer,69.84,
2023-07-23,STS-U1,Penalty,Turbine,Bearings & Vibration,Turbine Bearing #2,373.65,
2023-07-23,STS-U1,Penalty,Turbine,Lube Oil System,Lube Oil / Coolers,135.87,
2023-07-23,STS-U1,Penalty,Turbine,Steam Path & Valves,HP Control Valves,169.84,
2023-07-24,STS-U1,Capacity,Boiler,Availability,Unit 1,15272.73,
2023-07-24,STS-U1,Capacity,Controls,Availability,Unit 1,1090.91,
2023-07-24,STS-U1,Capacity,Electrical,Availability,Unit 1,2181.82,
2023-07-24,STS-U1,Capacity,Plant,Availability,Unit 1,3272.73,
2023-07-24,STS-U1,Energy,Boiler,Air & Flue Gas Path,ID Fan / Dampers,4490.8,
2023-07-24,STS-U1,Energy,Boiler,Combustion Control,O₂ Trim / Draft Loop,997.96,
2023-07-24,STS-U1,Energy,Boiler,Fuel Prep & Milling,Coal Mills / Feeders,2993.87,
2023-07-24,STS-U1,Energy,Boiler,Heat Transfer Surfaces,Superheater / Economizer,1496.93,
2023-07-24,STS-U1,Energy,Controls,Actuators,Damper / Valve Actuators,757.07,
2023-07-24,STS-U1,Energy,Controls,DCS & Control Logic,Unit DCS,1892.68,
2023-07-24,STS-U1,Energy,Controls,Instrumentation & Sensors,Draft DP / O₂ Analyzers,1135.6,
2023-07-24,STS-U1,Energy,Electrical,Station Service,Aux Transformer / MCC,275.3,
2023-07-24,STS-U1,Energy,Electrical,Switchyard,Breakers / Protection,412.95,
2023-07-24,STS-U1,Energy,Electrical,Transformers,GSU Transformer,688.24,
2023-07-24,STS-U1,Energy,Turbine,Bearings & Vibration,Turbine Bearing #2,1135.61,
2023-07-24,STS-U1,Energy,Turbine,Lube Oil System,Lube Oil / Coolers,412.95,
2023-07-24,STS-U1,Energy,Turbine,Steam Path & Valves,HP Control Valves,516.18,
2023-07-24,STS-U1,Penalty,Boiler,Air & Flue Gas Path,ID Fan / Dampers,1132.22,
2023-07-24,STS-U1,Penalty,Boiler,Combustion Control,O₂ Trim / Draft Loop,251.6,
2023-07-24,STS-U1,Penalty,Boiler,Fuel Prep & Milling,Coal Mills / Feeders,754.82,
2023-07-24,STS-U1,Penalty,Boiler,Heat Transfer Surfaces,Superheater / Economizer,377.41,
2023-07-24,STS-U1,Penalty,Controls,Actuators,Damper / Valve Actuators,70.68,
2023-07-24,STS-U1,Penalty,Controls,DCS & Control Logic,Unit DCS,176.71,
2023-07-24,STS-U1,Penalty,Controls,Instrumentation & Sensors,Draft DP / O₂ Analyzers,106.03,
2023-07-24,STS-U1,Penalty,Cooling,Circulating Water System,CW Pumps / Strainers,496.61,EVT-2024-06-AUXDRIFT
2023-07-24,STS-U1,Penalty,Cooling,Condenser & Vacuum,Surface Condenser,827.68,EVT-2024-06-AUXDRIFT
2023-07-24,STS-U1,Penalty,Cooling,Cooling Tower,CT Fans / Fill,331.07,EVT-2024-06-AUXDRIFT
2023-07-24,STS-U1,Penalty,Electrical,Station Service,Aux Transformer / MCC,32.48,
2023-07-24,STS-U1,Penalty,Electrical,Switchyard,Breakers / Protection,48.72,
2023-07-24,STS-U1,Penalty,Electrical,Transformers,GSU Transformer,81.2,
2023-07-24,STS-U1,Penalty,Turbine,Bearings & Vibration,Turbine Bearing #2,455.22,
2023-07-24,STS-U1,Penalty,Turbine,Lube Oil System,Lube Oil / Coolers,165.52,
2023-07-24,STS-U1,Penalty,Turbine,Steam Path & Valves,HP Control Valves,206.92,
2023-07-25,STS-U1,Capacity,Boiler,Availability,Unit 1,15272.73,
2023-07-25,STS-U1,Capacity,Controls,Availability,Unit 1,1090.91,
2023-07-25,STS-U1,Capacity,Electrical,Availability,Unit 1,2181.82,
2023-07-25,STS-U1,Capacity,Plant,Availability,Unit 1,3272.73,
2023-07-25,STS-U1,Energy,Boiler,Air & Flue Gas Path,ID Fan / Dampers,4561.4,
2023-07-25,STS-U1,Energy,Boiler,Combustion Control,O₂ Trim / Draft Loop,1013.64,
2023-07-25,STS-U1,Energy,Boiler,Fuel Prep & Milling,Coal Mills / Feeders,3040.93,
2023-07-25,STS-U1,Energy,Boiler,Heat Transfer Surfaces,Superheater / Economizer,1520.47,
2023-07-25,STS-U1,Energy,Controls,Actuators,Damper / Valve Actuators,768.97,
2023-07-25,STS-U1,Energy,Controls,DCS & Control Logic,Unit DCS,1922.43,
2023-07-25,STS-U1,Energy,Controls,Instrumentation & Sensors,Draft DP / O₂ Analyzers,1153.46,
2023-07-25,STS-U1,Energy,Electrical,Station Service,Aux Transformer / MCC,279.63,
2023-07-25,STS-U1,Energy,Electrical,Switchyard,Breakers / Protection,419.44,
2023-07-25,STS-U1,Energy,Electrical,Transformers,GSU Transformer,699.06,
2023-07-25,STS-U1,Energy,Turbine,Bearings & Vibration,Turbine Bearing #2,1153.46,
2023-07-25,STS-U1,Energy,Turbine,Lube Oil System,Lube Oil / Coolers,419.44,
2023-07-25,STS-U1,Energy,Turbine,Steam Path & Valves,HP Control Valves,524.3,
2023-07-25,STS-U1,Penalty,Boiler,Air & Flue Gas Path,ID Fan / Dampers,1070.48,
2023-07-25,STS-U1,Penalty,Boiler,Combustion Control,O₂ Trim / Draft Loop,237.88,
2023-07-25,STS-U1,Penalty,Boiler,Fuel Prep & Milling,Coal Mills / Feeders,713.66,
2023-07-25,STS-U1,Penalty,Boiler,Heat Transfer Surfaces,Superheater / Economizer,356.83,
2023-07-25,STS-U1,Penalty,Controls,Actuators,Damper / Valve Actuators,63.55,
2023-07-25,STS-U1,Penalty,Controls,DCS & Control Logic,Unit DCS,158.86,
2023-07-25,STS-U1,Penalty,Controls,Instrumentation & Sensors,Draft DP / O₂ Analyzers,95.32,
2023-07-25,STS-U1,Penalty,Cooling,Circulating Water System,CW Pumps / Strainers,433.72,EVT-2024-06-AUXDRIFT
2023-07-25,STS-U1,Penalty,Cooling,Condenser & Vacuum,Surface Condenser,722.86,EVT-2024-06-AUXDRIFT
2023-07-25,STS-U1,Penalty,Cooling,Cooling Tower,CT Fans / Fill,289.14,EVT-2024-06-AUXDRIFT
2023-07-25,STS-U1,Penalty,Electrical,Station Service,Aux Transformer / MCC,29.45,
2023-07-25,STS-U1,Penalty,Electrical,Switchyard,Breakers / Protection,44.18,
2023-07-25,STS-U1,Penalty,Electrical,Transformers,GSU Transformer,73.64,
2023-07-25,STS-U1,Penalty,Turbine,Bearings & Vibration,Turbine Bearing #2,397.57,
2023-07-25,STS-U1,Penalty,Turbine,Lube Oil System,Lube Oil / Coolers,144.57,
2023-07-25,STS-U1,Penalty,Turbine,Steam Path & Valves,HP Control Valves,180.72,
2023-07-26,STS-U1,Capacity,Boiler,Availability,Unit 1,15272.73,
2023-07-26,STS-U1,Capacity,Controls,Availability,Unit 1,1090.91,
2023-07-26,STS-U1,Capacity,Electrical,Availability,Unit 1,2181.82,
2023-07-26,STS-U1,Capacity,Plant,Availability,Unit 1,3272.73,
2023-07-26,STS-U1,Energy,Boiler,Air & Flue Gas Path,ID Fan / Dampers,4384.04,
2023-07-26,STS-U1,Energy,Boiler,Combustion Control,O₂ Trim / Draft Loop,974.23,
2023-07-26,STS-U1,Energy,Boiler,Fuel Prep & Milling,Coal Mills / Feeders,2922.7,
2023-07-26,STS-U1,Energy,Boiler,Heat Transfer Surfaces,Superheater / Economizer,1461.35,
2023-07-26,STS-U1,Energy,Controls,Actuators,Damper / Valve Actuators,739.07,
2023-07-26,STS-U1,Energy,Controls,DCS & Control Logic,Unit DCS,1847.68,
2023-07-26,STS-U1,Energy,Controls,Instrumentation & Sensors,Draft DP / O₂ Analyzers,1108.61,
2023-07-26,STS-U1,Energy,Electrical,Station Service,Aux Transformer / MCC,268.75,
2023-07-26,STS-U1,Energy,Electrical,Switchyard,Breakers / Protection,403.13,
2023-07-26,STS-U1,Energy,Electrical,Transformers,GSU Transformer,671.88,
2023-07-26,STS-U1,Energy,Turbine,Bearings & Vibration,Turbine Bearing #2,1108.61,
2023-07-26,STS-U1,Energy,Turbine,Lube Oil System,Lube Oil / Coolers,403.13,
2023-07-26,STS-U1,Energy,Turbine,Steam Path & Valves,HP Control Valves,503.91,
2023-07-26,STS-U1,Penalty,Boiler,Air & Flue Gas Path,ID Fan / Dampers,1059.92,
2023-07-26,STS-U1,Penalty,Boiler,Combustion Control,O₂ Trim / Draft Loop,235.54,
2023-07-26,STS-U1,Penalty,Boiler,Fuel Prep & Milling,Coal Mills / Feeders,706.61,
2023-07-26,STS-U1,Penalty,Boiler,Heat Transfer Surfaces,Superheater / Economizer,353.31,
2023-07-26,STS-U1,Penalty,Controls,Actuators,Damper / Valve Actuators,64.3,
2023-07-26,STS-U1,Penalty,Controls,DCS & Control Logic,Unit DCS,160.74,
2023-07-26,STS-U1,Penalty,Controls,Instrumentation & Sensors,Draft DP / O₂ Analyzers,96.44,
2023-07-26,STS-U1,Penalty,Cooling,Circulating Water System,CW Pumps / Strainers,444.46,EVT-2024-06-AUXDRIFT
2023-07-26,STS-U1,Penalty,Cooling,Condenser & Vacuum,Surface Condenser,740.76,EVT-2024-06-AUXDRIFT
2023-07-26,STS-U1,Penalty,Cooling,Cooling Tower,CT Fans / Fill,296.31,EVT-2024-06-AUXDRIFT
2023-07-26,STS-U1,Penalty,Electrical,Station Service,Aux Transformer / MCC,29.69,
2023-07-26,STS-U1,Penalty,Electrical,Switchyard,Breakers / Protection,44.53,
2023-07-26,STS-U1,Penalty,Electrical,Transformers,GSU Transformer,74.22,
2023-07-26,STS-U1,Penalty,Turbine,Bearings & Vibration,Turbine Bearing #2,407.42,
2023-07-26,STS-U1,Penalty,Turbine,Lube Oil System,Lube Oil / Coolers,148.16,
2023-07-26,STS-U1,Penalty,Turbine,Steam Path & Valves,HP Control Valves,185.19,
2023-07-27,STS-U1,Capacity,Boiler,Availability,Unit 1,15272.73,
2023-07-27,STS-U1,Capacity,Controls,Availability,Unit 1,1090.91,
2023-07-27,STS-U1,Capacity,Electrical,Availability,Unit 1,2181.82,
2023-07-27,STS-U1,Capacity,Plant,Availability,Unit 1,3272.73,
2023-07-27,STS-U1,Energy,Boiler,Air & Flue Gas Path,ID Fan / Dampers,4404.53,
2023-07-27,STS-U1,Energy,Boiler,Combustion Control,O₂ Trim / Draft Loop,978.79,
2023-07-27,STS-U1,Energy,Boiler,Fuel Prep & Milling,Coal Mills / Feeders,2936.36,
2023-07-27,STS-U1,Energy,Boiler,Heat Transfer Surfaces,Superheater / Economizer,1468.18,
2023-07-27,STS-U1,Energy,Controls,Actuators,Damper / Valve Actuators,742.53,
2023-07-27,STS-U1,Energy,Controls,DCS & Control Logic,Unit DCS,1856.32,
2023-07-27,STS-U1,Energy,Controls,Instrumentation & Sensors,Draft DP / O₂ Analyzers,1113.79,
2023-07-27,STS-U1,Energy,Electrical,Station Service,Aux Transformer / MCC,270.01,
2023-07-27,STS-U1,Energy,Electrical,Switchyard,Breakers / Protection,405.02,
2023-07-27,STS-U1,Energy,Electrical,Transformers,GSU Transformer,675.02,
2023-07-27,STS-U1,Energy,Turbine,Bearings & Vibration,Turbine Bearing #2,1113.79,
2023-07-27,STS-U1,Energy,Turbine,Lube Oil System,Lube Oil / Coolers,405.01,
2023-07-27,STS-U1,Energy,Turbine,Steam Path & Valves,HP Control Valves,506.27,
2023-07-27,STS-U1,Penalty,Boiler,Air & Flue Gas Path,ID Fan / Dampers,1122.2,
2023-07-27,STS-U1,Penalty,Boiler,Combustion Control,O₂ Trim / Draft Loop,249.38,
2023-07-27,STS-U1,Penalty,Boiler,Fuel Prep & Milling,Coal Mills / Feeders,748.13,
2023-07-27,STS-U1,Penalty,Boiler,Heat Transfer Surfaces,Superheater / Economizer,374.07,
2023-07-27,STS-U1,Penalty,Controls,Actuators,Damper / Valve Actuators,70.54,
2023-07-27,STS-U1,Penalty,Controls,DCS & Control Logic,Unit DCS,176.36,
2023-07-27,STS-U1,Penalty,Controls,Instrumentation & Sensors,Draft DP / O₂ Analyzers,105.81,
2023-07-27,STS-U1,Penalty,Cooling,Circulating Water System,CW Pumps / Strainers,497.5,EVT-2024-06-AUXDRIFT
2023-07-27,STS-U1,Penalty,Cooling,Condenser & Vacuum,Surface Condenser,829.16,EVT-2024-06-AUXDRIFT
2023-07-27,STS-U1,Penalty,Cooling,Cooling Tower,CT Fans / Fill,331.66,EVT-2024-06-AUXDRIFT
2023-07-27,STS-U1,Penalty,Electrical,Station Service,Aux Transformer / MCC,32.37,
2023-07-27,STS-U1,Penalty,Electrical,Switchyard,Breakers / Protection,48.56,
2023-07-27,STS-U1,Penalty,Electrical,Transformers,GSU Transformer,80.94,
2023-07-27,STS-U1,Penalty,Turbine,Bearings & Vibration,Turbine Bearing #2,456.04,
2023-07-27,STS-U1,Penalty,Turbine,Lube Oil System,Lube Oil / Coolers,165.79,
2023-07-27,STS-U1,Penalty,Turbine,Steam Path & Valves,HP Control Valves,207.29,
2023-07-28,STS-U1,Capacity,Boiler,Availability,Unit 1,15272.73,
2023-07-28,STS-U1,Capacity,Controls,Availability,Unit 1,1090.91,
2023-07-28,STS-U1,Capacity,Electrical,Availability,Unit 1,2181.82,
2023-07-28,STS-U1,Capacity,Plant,Availability,Unit 1,3272.73,
2023-07-28,STS-U1,Energy,Boiler,Air & Flue Gas Path,ID Fan / Dampers,4386.02,
2023-07-28,STS-U1,Energy,Boiler,Combustion Control,O₂ Trim / Draft Loop,974.67,
2023-07-28,STS-U1,Energy,Boiler,Fuel Prep & Milling,Coal Mills / Feeders,2924.01,
2023-07-28,STS-U1,Energy,Boiler,Heat Transfer Surfaces,Superheater / Economizer,1462.01,
2023-07-28,STS-U1,Energy,Controls,Actuators,Damper / Valve Actuators,739.41,
2023-07-28,STS-U1,Energy,Controls,DCS & Control Logic,Unit DCS,1848.52,
2023-07-28,STS-U1,Energy,Controls,Instrumentation & Sensors,Draft DP / O₂ Analyzers,1109.11,
2023-07-28,STS-U1,Energy,Electrical,Station Service,Aux Transformer / MCC,268.87,
2023-07-28,STS-U1,Energy,Electrical,Switchyard,Breakers / Protection,403.31,
2023-07-28,STS-U1,Energy,Electrical,Transformers,GSU Transformer,672.18,
2023-07-28,STS-U1,Energy,Turbine,Bearings & Vibration,Turbine Bearing #2,1109.11,
2023-07-28,STS-U1,Energy,Turbine,Lube Oil System,Lube Oil / Coolers,403.31,
2023-07-28,STS-U1,Energy,Turbine,Steam Path & Valves,HP Control Valves,504.14,
2023-07-28,STS-U1,Penalty,Boiler,Air & Flue Gas Path,ID Fan / Dampers,1112.49,
2023-07-28,STS-U1,Penalty,Boiler,Combustion Control,O₂ Trim / Draft Loop,247.22,
2023-07-28,STS-U1,Penalty,Boiler,Fuel Prep & Milling,Coal Mills / Feeders,741.66,
2023-07-28,STS-U1,Penalty,Boiler,Heat Transfer Surfaces,Superheater / Economizer,370.83,
2023-07-28,STS-U1,Penalty,Controls,Actuators,Damper / Valve Actuators,69.73,
2023-07-28,STS-U1,Penalty,Controls,DCS & Control Logic,Unit DCS,174.32,
2023-07-28,STS-U1,Penalty,Controls,Instrumentation & Sensors,Draft DP / O₂ Analyzers,104.59,
2023-07-28,STS-U1,Penalty,Cooling,Circulating Water System,CW Pumps / Strainers,490.96,EVT-2024-06-AUXDRIFT
2023-07-28,STS-U1,Penalty,Cooling,Condenser & Vacuum,Surface Condenser,818.27,EVT-2024-06-AUXDRIFT
2023-07-28,STS-U1,Penalty,Cooling,Cooling Tower,CT Fans / Fill,327.31,EVT-2024-06-AUXDRIFT
2023-07-28,STS-U1,Penalty,Electrical,Station Service,Aux Transformer / MCC,32.02,
2023-07-28,STS-U1,Penalty,Electrical,Switchyard,Breakers / Protection,48.02,
2023-07-28,STS-U1,Penalty,Electrical,Transformers,GSU Transformer,80.04,
2023-07-28,STS-U1,Penalty,Turbine,Bearings & Vibration,Turbine Bearing #2,450.05,
2023-07-28,STS-U1,Penalty,Turbine,Lube Oil System,Lube Oil / Coolers,163.65,
2023-07-28,STS-U1,Penalty,Turbine,Steam Path & Valves,HP Control Valves,204.57,
2023-07-29,STS-U1,Capacity,Boiler,Availability,Unit 1,15272.73,
2023-07-29,STS-U1,Capacity,Controls,Availability,Unit 1,1090.91,
2023-07-29,STS-U1,Capacity,Electrical,Availability,Unit 1,2181.82,
2023-07-29,STS-U1,Capacity,Plant,Availability,Unit 1,3272.73,
2023-07-29,STS-U1,Energy,Boiler,Air & Flue Gas Path,ID Fan / Dampers,4370.04,
2023-07-29,STS-U1,Energy,Boiler,Combustion Control,O₂ Trim / Draft Loop,971.12,
2023-07-29,STS-U1,Energy,Boiler,Fuel Prep & Milling,Coal Mills / Feeders,2913.36,
2023-07-29,STS-U1,Energy,Boiler,Heat Transfer Surfaces,Superheater / Economizer,1456.68,
2023-07-29,STS-U1,Energy,Controls,Actuators,Damper / Valve Actuators,736.71,
2023-07-29,STS-U1,Energy,Controls,DCS & Control Logic,Unit DCS,1841.78,
2023-07-29,STS-U1,Energy,Controls,Instrumentation & Sensors,Draft DP / O₂ Analyzers,1105.07,
2023-07-29,STS-U1,Energy,Electrical,Station Service,Aux Transformer / MCC,267.9,
2023-07-29,STS-U1,Energy,Electrical,Switchyard,Breakers / Protection,401.84,
2023-07-29,STS-U1,Energy,Electrical,Transformers,GSU Transformer,669.74,
2023-07-29,STS-U1,Energy,Turbine,Bearings & Vibration,Turbine Bearing #2,1105.07,
2023-07-29,STS-U1,Energy,Turbine,Lube Oil System,Lube Oil / Coolers,401.84,
2023-07-29,STS-U1,Energy,Turbine,Steam Path & Valves,HP Control Valves,502.3,
2023-07-29,STS-U1,Penalty,Boiler,Air & Flue Gas Path,ID Fan / Dampers,1001.37,
2023-07-29,STS-U1,Penalty,Boiler,Combustion Control,O₂ Trim / Draft Loop,222.53,
2023-07-29,STS-U1,Penalty,Boiler,Fuel Prep & Milling,Coal Mills / Feeders,667.58,
2023-07-29,STS-U1,Penalty,Boiler,Heat Transfer Surfaces,Superheater / Economizer,333.79,
2023-07-29,STS-U1,Penalty,Controls,Actuators,Damper / Valve Actuators,58.37,
2023-07-29,STS-U1,Penalty,Controls,DCS & Control Logic,Unit DCS,145.92,
2023-07-29,STS-U1,Penalty,Controls,Instrumentation & Sensors,Draft DP / O₂ Analyzers,87.55,
2023-07-29,STS-U1,Penalty,Cooling,Circulating Water System,CW Pumps / Strainers,394.0,EVT-2024-06-AUXDRIFT
2023-07-29,STS-U1,Penalty,Cooling,Condenser & Vacuum,Surface Condenser,656.66,EVT-2024-06-AUXDRIFT
2023-07-29,STS-U1,Penalty,Cooling,Cooling Tower,CT Fans / Fill,262.67,EVT-2024-06-AUXDRIFT
2023-07-29,STS-U1,Penalty,Electrical,Station Service,Aux Transformer / MCC,27.14,
2023-07-29,STS-U1,Penalty,Electrical,Switchyard,Breakers / Protection,40.71,
2023-07-29,STS-U1,Penalty,Electrical,Transformers,GSU Transformer,67.86,
2023-07-29,STS-U1,Penalty,Turbine,Bearings & Vibration,Turbine Bearing #2,361.17,
2023-07-29,STS-U1,Penalty,Turbine,Lube Oil System,Lube Oil / Coolers,131.3,
2023-07-29,STS-U1,Penalty,Turbine,Steam Path & Valves,HP Control Valves,164.17,
2023-07-30,STS-U1,Capacity,Boiler,Availability,Unit 1,15272.73,
2023-07-30,STS-U1,Capacity,Controls,Availability,Unit 1,1090.91,
2023-07-30,STS-U1,Capacity,Electrical,Availability,Unit 1,2181.82,
2023-07-30,STS-U1,Capacity,Plant,Availability,Unit 1,3272.73,
2023-07-30,STS-U1,Energy,Boiler,Air & Flue Gas Path,ID Fan / Dampers,4238.06,
2023-07-30,STS-U1,Energy,Boiler,Combustion Control,O₂ Trim / Draft Loop,941.79,
2023-07-30,STS-U1,Energy,Boiler,Fuel Prep & Milling,Coal Mills / Feeders,2825.37,
2023-07-30,STS-U1,Energy,Boiler,Heat Transfer Surfaces,Superheater / Economizer,1412.69,
2023-07-30,STS-U1,Energy,Controls,Actuators,Damper / Valve Actuators,714.46,
2023-07-30,STS-U1,Energy,Controls,DCS & Control Logic,Unit DCS,1786.16,
2023-07-30,STS-U1,Energy,Controls,Instrumentation & Sensors,Draft DP / O₂ Analyzers,1071.69,
2023-07-30,STS-U1,Energy,Electrical,Station Service,Aux Transformer / MCC,259.8,
2023-07-30,STS-U1,Energy,Electrical,Switchyard,Breakers / Protection,389.71,
2023-07-30,STS-U1,Energy,Electrical,Transformers,GSU Transformer,649.51,
2023-07-30,STS-U1,Energy,Turbine,Bearings & Vibration,Turbine Bearing #2,1071.69,
2023-07-30,STS-U1,Energy,Turbine,Lube Oil System,Lube Oil / Coolers,389.71,
2023-07-30,STS-U1,Energy,Turbine,Steam Path & Valves,HP Control Valves,487.13,
2023-07-30,STS-U1,Penalty,Boiler,Air & Flue Gas Path,ID Fan / Dampers,973.56,
2023-07-30,STS-U1,Penalty,Boiler,Combustion Control,O₂ Trim / Draft Loop,216.35,
2023-07-30,STS-U1,Penalty,Boiler,Fuel Prep & Milling,Coal Mills / Feeders,649.04,
2023-07-30,STS-U1,Penalty,Boiler,Heat Transfer Surfaces,Superheater / Economizer,324.52,
2023-07-30,STS-U1,Penalty,Controls,Actuators,Damper / Valve Actuators,56.86,
2023-07-30,STS-U1,Penalty,Controls,DCS & Control Logic,Unit DCS,142.15,
2023-07-30,STS-U1,Penalty,Controls,Instrumentation & Sensors,Draft DP / O₂ Analyzers,85.29,
2023-07-30,STS-U1,Penalty,Cooling,Circulating Water System,CW Pumps / Strainers,384.26,EVT-2024-06-AUXDRIFT
2023-07-30,STS-U1,Penalty,Cooling,Condenser & Vacuum,Surface Condenser,640.43,EVT-2024-06-AUXDRIFT
2023-07-30,STS-U1,Penalty,Cooling,Cooling Tower,CT Fans / Fill,256.17,EVT-2024-06-AUXDRIFT
2023-07-30,STS-U1,Penalty,Electrical,Station Service,Aux Transformer / MCC,26.43,
2023-07-30,STS-U1,Penalty,Electrical,Switchyard,Breakers / Protection,39.64,
2023-07-30,STS-U1,Penalty,Electrical,Transformers,GSU Transformer,66.07,
2023-07-30,STS-U1,Penalty,Turbine,Bearings & Vibration,Turbine Bearing #2,352.24,
2023-07-30,STS-U1,Penalty,Turbine,Lube Oil System,Lube Oil / Coolers,128.09,
2023-07-30,STS-U1,Penalty,Turbine,Steam Path & Valves,HP Control Valves,160.11,
2023-07-31,STS-U1,Capacity,Boiler,Availability,Unit 1,15272.73,
2023-07-31,STS-U1,Capacity,Controls,Availability,Unit 1,1090.91,
2023-07-31,STS-U1,Capacity,Electrical,Availability,Unit 1,2181.82,
2023-07-31,STS-U1,Capacity,Plant,Availability,Unit 1,3272.73,
2023-07-31,STS-U1,Energy,Boiler,Air & Flue Gas Path,ID Fan / Dampers,4485.24,
2023-07-31,STS-U1,Energy,Boiler,Combustion Control,O₂ Trim / Draft Loop,996.72,
2023-07-31,STS-U1,Energy,Boiler,Fuel Prep & Milling,Coal Mills / Feeders,2990.16,
2023-07-31,STS-U1,Energy,Boiler,Heat Transfer Surfaces,Superheater / Economizer,1495.08,
2023-07-31,STS-U1,Energy,Controls,Actuators,Damper / Valve Actuators,756.13,
2023-07-31,STS-U1,Energy,Controls,DCS & Control Logic,Unit DCS,1890.33,
2023-07-31,STS-U1,Energy,Controls,Instrumentation & Sensors,Draft DP / O₂ Analyzers,1134.2,
2023-07-31,STS-U1,Energy,Electrical,Station Service,Aux Transformer / MCC,274.96,
2023-07-31,STS-U1,Energy,Electrical,Switchyard,Breakers / Protection,412.44,
2023-07-31,STS-U1,Energy,Electrical,Transformers,GSU Transformer,687.4,
2023-07-31,STS-U1,Energy,Turbine,Bearings & Vibration,Turbine Bearing #2,1134.2,
2023-07-31,STS-U1,Energy,Turbine,Lube Oil System,Lube Oil / Coolers,412.44,
2023-07-31,STS-U1,Energy,Turbine,Steam Path & Valves,HP Control Valves,515.54,
2023-07-31,STS-U1,Penalty,Boiler,Air & Flue Gas Path,ID Fan / Dampers,1151.81,
2023-07-31,STS-U1,Penalty,Boiler,Combustion Control,O₂ Trim / Draft Loop,255.96,
2023-07-31,STS-U1,Penalty,Boiler,Fuel Prep & Milling,Coal Mills / Feeders,767.87,
2023-07-31,STS-U1,Penalty,Boiler,Heat Transfer Surfaces,Superheater / Economizer,383.94,
2023-07-31,STS-U1,Penalty,Controls,Actuators,Damper / Valve Actuators,72.77,
2023-07-31,STS-U1,Penalty,Controls,DCS & Control Logic,Unit DCS,181.93,
2023-07-31,STS-U1,Penalty,Controls,Instrumentation & Sensors,Draft DP / O₂ Analyzers,109.16,
2023-07-31,STS-U1,Penalty,Cooling,Circulating Water System,CW Pumps / Strainers,514.65,EVT-2024-06-AUXDRIFT
2023-07-31,STS-U1,Penalty,Cooling,Condenser & Vacuum,Surface Condenser,857.75,EVT-2024-06-AUXDRIFT
2023-07-31,STS-U1,Penalty,Cooling,Cooling Tower,CT Fans / Fill,343.1,EVT-2024-06-AUXDRIFT
2023-07-31,STS-U1,Penalty,Electrical,Station Service,Aux Transformer / MCC,33.37,
2023-07-31,STS-U1,Penalty,Electrical,Switchyard,Breakers / Protection,50.06,
2023-07-31,STS-U1,Penalty,Electrical,Transformers,GSU Transformer,83.42,
2023-07-31,STS-U1,Penalty,Turbine,Bearings & Vibration,Turbine Bearing #2,471.76,
2023-07-31,STS-U1,Penalty,Turbine,Lube Oil System,Lube Oil / Coolers,171.54,
2023-07-31,STS-U1,Penalty,Turbine,Steam Path & Valves,HP Control Valves,214.44,
2023-08-01,STS-U1,Capacity,Boiler,Availability,Unit 1,15272.73,
2023-08-01,STS-U1,Capacity,Controls,Availability,Unit 1,1090.91,
2023-08-01,STS-U1,Capacity,Electrical,Availability,Unit 1,2181.82,
2023-08-01,STS-U1,Capacity,Plant,Availability,Unit 1,3272.73,
2023-08-01,STS-U1,Energy,Boiler,Air & Flue Gas Path,ID Fan / Dampers,4359.0,
2023-08-01,STS-U1,Energy,Boiler,Combustion Control,O₂ Trim / Draft Loop,968.67,
2023-08-01,STS-U1,Energy,Boiler,Fuel Prep & Milling,Coal Mills / Feeders,2906.0,
2023-08-01,STS-U1,Energy,Boiler,Heat Transfer Surfaces,Superheater / Economizer,1453.0,
